ra,dec
0.92966,15.21798
7.02725,25.99697
8.60329,24.60386
22.84185,23.9542
25.97973,13.80638
28.46111,14.7645
33.01352,14.1042
39.87512,29.25888
130.2442,16.18337
130.71962,25.07035
132.75347,24.32148
137.04247,5.92821
147.74625,4.27332
156.16719,14.75614
157.93028,25.30761
159.05329,13.44954
159.47066,13.71979
161.84334,14.0713
163.24438,7.6198
165.88495,11.11854
166.03728,8.36871
168.21693,10.20064
169.02658,23.91039
172.30116,11.86523
174.42631,24.13259
175.26533,10.22511
175.57929,14.99622
176.1904,9.213
177.6058,25.98911
179.77587,24.47174
180.33941,14.44974
180.96055,14.5501
182.36947,26.22606
182.47738,13.04998
182.50727,14.36687
183.06277,12.48809
183.35954,14.77201
183.45359,24.2634
183.53684,7.77624
183.72999,13.46139
184.26764,10.00556
185.48948,8.67501
186.71039,11.55902
188.6899,15.22078
188.68722,6.29988
189.15698,6.62089
189.43844,7.10509
190.40549,26.07281
191.04049,12.11418
193.62206,26.30428
194.01943,3.81293
194.18208,11.93137
194.66747,14.21687
197.68295,11.70786
198.02731,5.4757
201.75493,10.05592
203.80666,27.63015
207.75331,24.09118
209.91237,26.2268
210.68659,23.84057
211.22348,12.72157
211.27508,9.33917
212.57791,5.57593
218.66317,4.26405
218.84493,5.27656
221.3397,7.8609
224.19988,9.5091
230.4181,8.41552
234.59136,12.96058
236.40553,4.18244
236.43319,12.51058
237.60073,25.92255
240.77101,5.10786
247.52539,27.69932
342.62611,29.13876
344.92302,24.07493
358.9245,31.89969
1.51183,27.3483
9.43343,24.20764
5.91374,15.0674
2.20327,14.03363
0.56156,14.48775
3.11999,15.55599
5.20274,15.05361
9.76658,14.60022
9.85291,14.45633
9.59912,25.43632
1.27111,23.97063
3.20106,14.52532
1.76933,27.02377
3.30308,25.60231
4.05093,24.84974
11.60035,25.0712
12.30974,25.29376
5.52823,25.48613
0.08839,31.02246
0.13108,30.86925
0.16494,31.93796
1.16463,29.60017
0.73148,28.27876
18.69007,27.13614
21.31909,14.14856
22.56422,14.67756
22.94267,14.15544
24.50128,14.98281
20.06716,14.87476
29.0814,14.92474
19.5228,27.18788
18.25899,27.63651
25.86352,24.78036
19.34072,24.13775
18.48478,30.15715
20.74767,32.17863
21.55348,32.13706
19.61221,29.11552
39.56956,29.90634
38.31706,28.17754
37.88727,26.79712
37.90376,26.54296
38.81233,28.01966
32.87254,14.46768
36.56061,24.43431
36.88199,24.86942
38.22275,25.15307
38.67749,24.48673
40.30166,31.49126
40.44943,31.45747
41.01399,29.28746
41.84568,29.17573
119.98656,13.84252
113.66269,27.15916
114.87788,24.16502
116.67851,26.35533
117.30182,24.98575
118.67446,26.64171
118.69427,24.74899
118.83989,26.83768
116.44526,15.72866
117.79389,14.19257
116.84724,8.83318
117.93738,9.03646
118.0709,9.70105
126.21557,9.22495
127.07542,25.78836
120.85157,15.14195
127.49734,25.48618
125.52474,8.30019
130.03642,9.13015
132.67529,9.34078
132.29068,8.89542
122.6413,7.02648
126.93783,7.66084
122.05744,6.80844
123.77849,6.92724
129.13843,5.17809
133.14064,13.84122
123.88615,9.23333
134.27267,9.11831
131.47532,12.24218
121.15465,5.35886
124.53461,24.50177
120.01256,25.729
121.45091,26.0152
121.88323,27.41157
122.37477,25.82985
123.42045,25.31967
123.92732,25.96537
124.67036,26.53551
125.78206,26.04633
125.83062,27.51028
126.40133,24.01721
127.09555,26.2867
127.91944,27.4195
128.55619,26.43005
129.72419,25.11786
132.10784,26.42464
133.43578,26.99667
134.79678,24.53629
120.02637,12.07793
120.1254,12.06351
123.01004,15.07853
127.15795,14.97333
132.11579,16.19214
134.03143,12.37228
134.30692,13.05591
120.30427,11.62353
120.71234,11.07354
124.20071,7.81914
128.15457,9.20884
120.04683,4.8539
125.92083,3.89734
131.59051,4.94578
120.56765,6.82614
131.5482,7.04961
137.77549,13.12161
144.44856,27.56604
146.65701,24.1313
137.22375,14.5839
148.24515,8.029
148.25826,7.78981
149.05291,15.61029
146.15466,10.01288
146.46036,8.90932
146.55588,8.9349
147.56293,9.73467
147.9158,11.30186
136.35552,10.54486
140.16156,10.26843
141.96695,10.69607
143.08601,10.09994
146.88082,10.49211
140.38295,11.34674
146.12603,11.27893
146.39952,12.57932
148.47286,12.51305
144.11168,9.60613
148.68965,9.60425
144.35871,8.68928
136.82368,6.4731
144.50274,6.92437
144.82642,6.088
136.30271,5.86786
139.73134,13.82013
140.42348,13.6158
145.75779,9.25259
136.23746,10.19113
136.93331,12.04996
137.34428,12.00868
139.43668,10.50436
146.0824,10.05907
145.71241,4.88945
140.36322,7.36464
147.96163,13.91053
148.21053,15.82627
149.52996,13.7803
145.05521,9.92448
149.11245,10.90556
135.9873,14.57767
139.23208,14.71384
139.88044,14.16081
141.615,15.82414
142.38738,14.79095
142.71613,13.78286
143.54766,13.91309
143.80043,13.12127
144.45628,12.97139
144.60308,12.54672
145.4945,15.31017
146.98472,14.40368
147.3119,15.80696
147.40875,14.77595
135.93186,25.3123
136.66071,27.54832
137.94012,27.65881
138.76658,27.53171
139.32105,26.45026
139.8166,25.60166
143.89053,27.05707
145.27558,8.92164
144.19321,9.04443
138.49793,9.67353
139.09579,10.59111
139.12865,9.17352
144.34798,4.09851
146.8867,3.98184
139.17276,6.43509
141.32462,7.04914
142.04694,7.54351
146.67658,7.1352
161.67351,13.00679
159.06873,27.53906
154.00015,6.80486
157.97522,12.92726
161.23954,11.91603
165.75797,8.04848
151.88818,13.10686
151.49435,23.86405
150.42761,11.55525
150.51771,12.36398
150.88817,16.02315
153.38426,8.59366
156.14773,8.51687
158.12908,14.65058
160.03671,9.27459
164.40092,8.14955
159.23649,13.93421
169.80994,11.95216
152.44352,12.0816
150.42722,10.6374
150.86142,10.46053
153.63408,10.97388
160.23777,10.62885
150.77821,12.34974
155.042,13.01458
159.01077,12.18842
162.95285,12.24242
155.50887,14.01043
156.21391,13.14587
160.61046,13.95714
154.82341,9.18394
161.18884,7.9988
150.19233,7.27122
157.79969,7.02547
158.22049,7.59833
158.66163,7.03159
163.08214,7.56093
153.41497,5.9971
155.05961,6.80261
150.75915,5.87059
151.46365,5.00629
153.10944,5.72202
159.44218,5.46723
154.05825,4.49964
155.00458,4.68985
156.66935,4.45452
164.36401,9.17441
158.50967,15.3707
150.66274,12.15673
160.35894,7.03775
150.0102,15.76849
150.48064,15.76007
151.66814,12.31678
151.85624,12.98633
156.05918,15.28533
159.694,12.98948
160.10362,11.99287
162.16252,11.90998
162.42815,13.82814
162.86817,12.43944
164.08133,14.86636
164.63365,13.93043
155.75164,14.79064
160.68221,10.16942
151.54497,7.2259
160.57698,8.98706
161.72069,28.03908
151.24552,8.78252
154.90441,10.0011
164.68288,5.39342
158.30313,5.9562
153.63825,8.46182
164.64654,7.74746
163.78628,9.82681
164.17069,9.41863
